date,Confirmed_Cases,Probable_Cases,Total_Cases,7-day_Average_of_Confirmed_Cases,7-day_Average_of_Probable_Cases,7-day_Average of_Total_cases,status,ETLdate
06/12/2021 12:00:00 AM +0000,112,32,144,160,49,208,Update,06/14/2021 11:10:02 PM +0000
04/30/2021 12:00:00 AM +0000,958,318,1276,1047,337,1383,Update,06/14/2021 11:10:02 PM +0000
05/02/2021 12:00:00 AM +0000,553,217,770,976,313,1289,Update,06/12/2021 11:10:03 PM +0000
05/11/2021 12:00:00 AM +0000,613,184,797,596,193,789,Update,06/12/2021 11:10:03 PM +0000
05/14/2021 12:00:00 AM +0000,470,186,656,501,168,668,Update,06/14/2021 11:10:02 PM +0000
05/16/2021 12:00:00 AM +0000,274,126,400,480,159,639,Update,06/14/2021 11:10:02 PM +0000
05/22/2021 12:00:00 AM +0000,230,86,316,349,115,464,Update,06/14/2021 11:10:02 PM +0000
05/24/2021 12:00:00 AM +0000,343,124,467,320,103,423,Update,06/14/2021 11:10:02 PM +0000
05/26/2021 12:00:00 AM +0000,240,69,309,288,88,375,Update,06/14/2021 11:10:02 PM +0000
05/30/2021 12:00:00 AM +0000,111,42,153,225,72,298,Update,06/14/2021 11:10:02 PM +0000
06/01/2021 12:00:00 AM +0000,272,68,340,188,60,248,Update,06/14/2021 11:10:02 PM +0000
06/03/2021 12:00:00 AM +0000,194,45,239,178,57,235,Update,06/13/2021 11:10:03 PM +0000
06/06/2021 12:00:00 AM +0000,122,34,156,180,58,237,Update,06/14/2021 11:10:02 PM +0000
06/08/2021 12:00:00 AM +0000,165,55,220,179,57,235,Update,06/14/2021 11:10:02 PM +0000
05/01/2021 12:00:00 AM +0000,557,222,779,1005,322,1327,Update,06/12/2021 11:10:03 PM +0000
05/04/2021 12:00:00 AM +0000,854,235,1089,870,284,1154,Update,06/14/2021 11:10:02 PM +0000
